127.0.0.1 - - [13/Jan/2019:20:01:44 +0100] "GET /carbon/styles/images/back-repeat.png HTTP/1.1" 200 198 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:44 +0100] "GET /carbon/admin/images/help.gif HTTP/1.1" 200 411 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:44 +0100] "GET /carbon/styles/images/menu_header.png HTTP/1.1" 200 203 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:44 +0100] "GET /carbon/styles/images/is-logo.png HTTP/1.1" 200 4498 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:44 +0100] "GET /carbon/styles/images/is-header-bg.png HTTP/1.1" 200 16404 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:48 +0100] "POST /carbon/admin/login_action.jsp HTTP/1.1" 302 - "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:48 +0100] "GET /carbon/admin/index.jsp?loginStatus=true HTTP/1.1" 200 4504 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:48 +0100] "GET /carbon/admin/js/csrfPrevention.js HTTP/1.1" 200 3889 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:48 +0100] "GET /carbon/admin/images/up-arrow.gif HTTP/1.1" 200 615 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:48 +0100] "GET /carbon/admin/jsp/registry_styles_ajaxprocessor.jsp HTTP/1.1" 200 123 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/userstore_config/images/multiple-user-stores.png HTTP/1.1" 200 783 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/userstore/images/add.gif HTTP/1.1" 200 407 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/styles/images/is-server-menu-header.png HTTP/1.1" 200 204 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/userstore/images/user-store.gif HTTP/1.1" 200 617 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/userstore/images/list.gif HTTP/1.1" 200 216 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/userstore_config/images/list.gif HTTP/1.1" 200 216 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/claim-mgt/images/claimmgt.gif HTTP/1.1" 200 1046 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/claim-mgt/images/list.gif HTTP/1.1" 200 216 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/claim-mgt/images/add.gif HTTP/1.1" 200 407 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
